"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 12 2018","6250.6","6389.1","6389.4","6088.8","289.24K","-2.17%"
"Jul 11 2018","6389.1","6307.2","6409.7","6296.6","243.82K","1.30%"
"Jul 10 2018","6307.2","6668.4","6686.8","6291.5","315.27K","-5.40%"
"Jul 09 2018","6667.1","6715.1","6793.8","6637.7","289.48K","-0.71%"
"Jul 08 2018","6714.8","6765.4","6784.0","6694.3","267.60K","-0.75%"
"Jul 07 2018","6765.5","6617.7","6805.9","6531.1","114.57K","2.23%"
"Jul 06 2018","6617.7","6546.5","6638.2","6458.3","132.69K","1.09%"
"Jul 05 2018","6546.5","6598.0","6693.6","6466.1","166.18K","-0.79%"
"Jul 04 2018","6598.4","6513.8","6774.5","6442.3","143.04K","1.30%"
"Jul 03 2018","6513.5","6618.6","6676.6","6513.5","150.19K","-1.60%"
"Jul 02 2018","6619.5","6349.1","6680.0","6275.0","179.92K","3.97%"
"Jul 01 2018","6366.8","6398.5","6445.1","6284.7","128.51K","-0.50%"
"Jun 30 2018","6398.9","6213.4","6498.5","6204.0","189.33K","2.99%"
"Jun 29 2018","6213.3","5883.2","6284.9","5818.5","206.96K","5.61%"
"Jun 28 2018","5883.5","6154.9","6178.4","5854.0","156.05K","-4.41%"
"Jun 27 2018","6154.9","6081.1","6187.3","6025.4","133.42K","1.20%"
"Jun 26 2018","6082.1","6256.9","6267.7","6060.0","176.66K","-2.79%"
"Jun 25 2018","6256.6","6155.1","6331.2","6101.7","210.69K","1.66%"
"Jun 24 2018","6154.6","6167.9","6248.3","5785.3","240.60K","-0.21%"
"Jun 23 2018","6167.3","6055.2","6259.0","6032.8","142.90K","1.84%"
"Jun 22 2018","6055.7","6728.2","6739.7","5955.0","278.22K","-9.99%"
"Jun 21 2018","6728.0","6765.8","6797.5","6695.1","99.29K","-0.55%"
"Jun 20 2018","6765.4","6752.3","6812.7","6575.1","121.48K","0.19%"
"Jun 19 2018","6752.4","6719.8","6839.5","6681.5","120.54K","0.49%"
"Jun 18 2018","6719.8","6460.5","6794.5","6410.9","135.70K","4.02%"
"Jun 17 2018","6460.3","6505.8","6593.0","6452.1","90.67K","-0.70%"
"Jun 16 2018","6505.8","6410.0","6564.2","6358.0","108.79K","1.49%"
"Jun 15 2018","6410.3","6647.3","6655.8","6395.7","143.53K","-3.56%"
"Jun 14 2018","6647.1","6312.3","6711.5","6283.6","201.54K","5.30%"
"Jun 13 2018","6312.3","6558.5","6624.6","6129.1","237.48K","-3.75%"
"Jun 12 2018","6558.2","6885.9","6887.2","6476.0","178.26K","-4.76%"
